Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-June-2020,528.20,530.00,476.25,481.95,501.250771940049697459,3191310,65383,1599646601.00,792544,24.83,53.75,-46.25
23-June-2020,498.00,524.00,497.95,520.65,513.578797661220949420,2233131,50649,1146888734.00,558240,25.00,26.05,22.65
22-June-2020,489.00,501.70,486.00,489.85,495.621730571516781017,2668968,55707,1322798539.00,880318,32.98,15.70,0.85
19-June-2020,503.45,510.55,472.90,484.25,491.793823200721772783,2396322,42515,1178496358.00,478779,19.98,37.65,-19.20
18-June-2020,490.00,502.65,483.00,498.90,494.509602795395419224,1411464,20541,697982502.00,166397,11.79,19.65,8.90
17-June-2020,474.45,502.00,465.70,490.85,489.632327235921912582,2446284,37546,1197779728.00,225597,9.22,36.30,16.40
16-June-2020,510.00,514.75,457.00,480.85,486.370293267993912399,2580984,40148,1255313945.00,342006,13.25,57.75,-29.15
15-June-2020,527.90,527.90,483.65,489.65,499.757067839804933937,2723180,47586,1360928452.00,612016,22.47,44.25,-38.25
12-June-2020,492.15,535.00,483.80,528.05,507.159260482028655786,3086497,51048,1565345536.00,406663,13.18,51.20,35.90
11-June-2020,510.00,548.30,506.00,523.20,531.059308503846067063,4033081,69974,2141805207.00,539699,13.38,42.30,13.20
10-June-2020,463.75,510.25,463.75,500.70,483.312486386294576800,2396482,36457,1158249674.00,340286,14.20,46.50,36.95
9-June-2020,461.95,478.10,452.60,463.90,466.553084943812205184,2353803,34452,1098174051.00,544096,23.12,25.50,1.95
8-June-2020,455.00,463.65,444.00,451.65,453.513130658070730503,2097115,36885,951069189.00,348545,16.62,19.65,-3.35
5-June-2020,419.95,427.20,411.30,422.55,420.599194558828398510,1721541,22948,724078758.00,221612,12.87,15.90,2.60
4-June-2020,426.10,434.90,405.00,414.90,419.621746776861349054,1433463,24716,601512248.00,172557,12.04,29.90,-11.20
3-June-2020,449.90,452.00,426.10,431.35,442.283901073324381138,1490882,26212,659393107.00,197526,13.25,25.90,-18.55
2-June-2020,413.90,438.65,404.50,434.85,422.522488318597414466,1737591,26946,734171273.00,222582,12.81,34.15,20.95
1-June-2020,402.95,416.75,401.85,410.05,409.913114533351510442,1195643,19135,490109746.00,163512,13.68,14.90,7.10
29-May-2020,385.00,399.90,373.65,393.30,389.995980218722844565,1608794,28925,627423193.00,139468,8.67,26.25,8.30
28-May-2020,375.00,405.40,371.60,386.80,390.759846035459389035,2591246,44715,1012554888.00,250839,9.68,33.80,11.80
27-May-2020,352.75,375.40,347.60,368.55,360.669845334511394596,1557361,24597,561693151.00,140853,9.04,27.80,15.80
26-May-2020,345.00,353.80,342.20,348.20,348.300995659132700273,1258965,17542,438498763.00,100253,7.96,11.60,3.20
22-May-2020,342.00,353.55,330.00,338.20,339.273725589976605932,1800029,27962,610702545.00,167038,9.28,23.55,-3.80
21-May-2020,362.50,364.35,343.10,346.95,354.813293856681543671,1274002,23331,452032846.00,213593,16.77,21.25,-15.55
20-May-2020,365.00,370.95,350.65,357.35,357.790458877833265952,1719085,26710,615072211.00,206679,12.02,20.30,-7.65
19-May-2020,386.10,388.00,361.10,367.85,373.573968616572842729,1654695,29365,618150978.00,158817,9.60,26.90,-18.25
18-May-2020,419.60,419.60,374.25,376.85,389.017513390706464881,1403212,29305,545874043.00,395755,28.20,45.35,-42.75
15-May-2020,431.70,431.70,417.15,418.80,421.530970942593905031,1100580,14563,463928556.00,148816,13.52,14.55,-12.90
