Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-December-2020,4860.00,4889.70,4817.00,4867.55,4847.836141616128503524,183030,9413,887299449.00,107167,58.55,72.70,7.55
2-December-2020,4861.15,4883.60,4785.85,4822.15,4834.104905484771655059,124636,11602,602503499.00,31797,25.51,97.75,-39.00
1-December-2020,4945.00,4949.90,4824.20,4857.20,4881.245994671095885670,115596,12551,564252512.00,40960,35.43,125.70,-87.80
27-November-2020,4861.00,4957.50,4783.25,4903.30,4877.318017061472558854,273130,26440,1332141870.00,77775,28.48,174.25,42.30
26-November-2020,4686.95,4855.00,4639.70,4827.85,4753.079710302057809484,276702,22097,1315186662.00,84827,30.66,215.30,140.90
25-November-2020,4820.00,4823.70,4675.20,4689.65,4735.087982111924205465,226296,18004,1071531470.00,108585,47.98,148.50,-130.35
24-November-2020,4847.00,4856.90,4772.00,4809.20,4795.963434442478630656,234565,12031,1124965163.00,135862,57.92,84.90,-37.80
23-November-2020,4780.00,4868.30,4735.00,4809.65,4805.089340212747087639,383366,39281,1842107880.00,114097,29.76,133.30,29.65
20-November-2020,4565.00,4761.40,4516.60,4717.75,4637.774918799927071867,296182,26955,1373625451.00,65502,22.12,244.80,152.75
19-November-2020,4625.00,4782.20,4513.35,4534.10,4685.615313758679664283,340883,34485,1597246605.00,59044,17.32,268.85,-90.90
18-November-2020,4474.10,4678.10,4462.85,4655.40,4608.910267313960633349,245741,20819,1132598218.00,36096,14.69,215.25,181.30
17-November-2020,4386.00,4503.70,4346.25,4487.85,4429.802255873024718015,215349,17286,953953486.00,47805,22.20,157.45,101.85
14-November-2020,4414.75,4435.35,4341.90,4373.45,4398.748558616271620755,28098,3156,123596037.00,9113,32.43,93.45,-41.30
13-November-2020,4260.00,4409.00,4253.85,4374.90,4340.856926657603070433,357474,24891,1551743489.00,169409,47.39,155.15,114.90
12-November-2020,4263.80,4322.80,4198.20,4298.65,4274.531055993537481113,267388,24847,1142958310.00,37649,14.08,124.60,34.85
11-November-2020,4210.00,4429.55,4133.50,4269.00,4279.505394389372098092,518409,52408,2218534112.00,79964,15.42,296.05,59.00
10-November-2020,3900.00,4243.00,3883.25,4208.60,4117.382490520080821500,505806,49752,2082596768.00,111848,22.11,359.75,308.60
9-November-2020,3809.00,3876.00,3789.70,3866.60,3847.988735795838552414,110971,11779,427015158.00,27845,25.09,86.30,57.60
6-November-2020,3740.00,3826.90,3704.40,3778.05,3768.782950087746464333,154992,13084,584131207.00,23058,14.88,122.50,38.05
5-November-2020,3602.00,3748.75,3590.00,3735.45,3687.341437632135306553,202444,16038,746480150.00,45434,22.44,158.75,133.45
4-November-2020,3475.00,3569.55,3463.20,3559.35,3519.125351406521388794,111694,9863,393065187.00,27933,25.01,106.35,84.35
3-November-2020,3431.00,3520.00,3417.55,3490.60,3476.117207939715812066,127662,11593,443768075.00,34957,27.38,102.45,59.60
2-November-2020,3340.00,3446.25,3276.00,3415.30,3370.968094861001125328,95972,9010,323518550.00,16514,17.21,170.25,75.30
30-October-2020,3378.00,3392.40,3255.00,3307.65,3308.865036524937422310,117454,11346,388639434.00,18090,15.40,137.40,-70.35
29-October-2020,3362.00,3432.55,3333.00,3379.60,3384.070443740818132875,109591,8993,370863664.00,8986,8.20,99.55,17.60
28-October-2020,3453.00,3488.95,3350.00,3370.35,3433.527138671948546855,265562,22778,911814334.00,120252,45.28,138.95,-82.65
27-October-2020,3325.00,3465.00,3277.05,3453.75,3397.831767888139889034,187806,18328,638133193.00,53268,28.36,187.95,128.75
26-October-2020,3343.00,3343.00,3238.90,3292.60,3275.295726522155910819,129356,15584,423679154.00,22632,17.50,104.10,-50.40
23-October-2020,3328.35,3355.50,3304.00,3317.35,3334.344829607399505292,85303,6618,284429617.00,14238,16.69,51.50,-11.00
22-October-2020,3161.00,3344.00,3155.00,3313.15,3292.389927369227437429,309373,29314,1018576549.00,100076,32.35,189.00,152.15
21-October-2020,3279.00,3295.00,3101.60,3233.25,3209.077565577252253199,237773,21519,763032000.00,27568,11.59,193.40,-45.75
20-October-2020,3262.00,3288.00,3229.00,3262.10,3261.872027348394768133,100920,8567,329188125.00,8184,8.11,59.00,0.10
19-October-2020,3243.00,3294.90,3196.70,3266.90,3245.102645699575075214,161205,13594,523126772.00,15320,9.50,98.20,23.90
16-October-2020,3299.90,3299.90,3170.80,3230.15,3230.644582077195832487,128038,11189,413645271.00,16328,12.75,129.10,-69.75
15-October-2020,3370.00,3375.00,3200.00,3213.70,3303.001821236698541766,241045,14861,796172074.00,118993,49.37,175.00,-156.30
14-October-2020,3252.50,3381.70,3232.05,3371.50,3313.448086179234471693,239965,23649,795111570.00,81864,34.11,149.65,119.00
13-October-2020,3325.00,3339.70,3245.00,3273.20,3286.687670352675379050,96491,8975,317135780.00,15738,16.31,94.70,-51.80
12-October-2020,3353.00,3380.00,3305.70,3325.10,3333.794785760644616157,81661,6553,272241016.00,11017,13.49,74.30,-27.90
9-October-2020,3333.70,3417.70,3305.10,3317.70,3361.098858420619042014,203928,13346,685422168.00,20457,10.03,112.60,-16.00
8-October-2020,3349.00,3398.00,3303.85,3325.80,3344.559522308313834283,214113,21140,716113673.00,52011,24.29,94.15,-23.20
7-October-2020,3415.00,3415.00,3286.00,3331.20,3335.142409693259787434,237856,27525,793283633.00,63519,26.70,129.00,-83.80
6-October-2020,3440.00,3480.00,3392.05,3474.40,3445.633700155581264140,175471,12730,604608791.00,41446,23.62,87.95,34.40
5-October-2020,3460.00,3518.00,3370.00,3379.85,3430.344380210484023972,179206,19027,614738295.00,31736,17.71,148.00,-80.15
